City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
659,Qaqortoq,GL,60.7167,-46.0333,-4.94,86,14,5.12,few clouds
660,Chanute,US,37.6792,-95.4572,71.28,67,81,21.61,broken clouds
661,Bacolod,PH,10.6667,122.95,77.52,81,100,7.31,overcast clouds
662,Harper,LR,4.375,-7.7169,78.33,87,99,6.15,light rain
663,Bud,US,39.447,-86.1758,62.69,83,100,14.79,overcast clouds
664,Tshikapa,CD,-6.4167,20.8,73.09,83,100,0.58,overcast clouds
665,Zelenogorskiy,RU,55.0333,87.0,19.92,99,86,4.88,overcast clouds
666,Nosy Varika,MG,-20.5833,48.5333,72.64,95,100,20.18,heavy intensity rain
667,Tocopilla,CL,-22.092,-70.1979,70.36,80,29,7.78,scattered clouds
668,Tupelo,US,34.2576,-88.7034,55.69,82,100,15.01,mist
669,Dunhua,CN,43.3725,128.2425,-4.49,90,32,7.7,scattered clouds
670,Chapais,CA,49.7834,-74.8492,-9.62,93,95,2.39,overcast clouds
671,Antequera,ES,37.0194,-4.5612,53.19,57,0,3.44,clear sky
672,Pak Phanang,TH,8.3511,100.202,79.2,80,74,6.64,broken clouds
673,Moba,CN,33.2288,105.0179,25.12,76,100,2.28,overcast clouds
674,Linqiong,CN,30.4159,103.4609,40.82,90,100,3.11,overcast clouds
675,Gunjur,GM,13.2019,-16.7339,71.67,73,64,10.36,broken clouds
676,Kargil,IN,34.5667,76.1,3.34,83,100,1.77,overcast clouds
677,Tabou,CI,4.423,-7.3528,78.35,89,93,6.08,light rain
678,Rochegda,RU,62.8,43.25,3.7,100,92,1.25,overcast clouds
679,Monrovia,LR,6.3005,-10.7969,77.92,87,100,3.76,light rain
680,Manzhouli,CN,49.6,117.4333,-13.49,98,23,6.35,few clouds
681,Emba,KZ,48.8264,58.1442,30.47,94,100,7.65,overcast clouds
682,Clyde River,CA,70.4692,-68.5914,-10.97,77,100,21.85,overcast clouds
683,Batemans Bay,AU,-35.7167,150.1833,68.2,92,100,5.41,overcast clouds
684,Coihueco,CL,-36.6167,-71.8333,79.54,34,75,6.91,broken clouds
685,Itaueira,BR,-7.6033,-43.0256,78.98,69,83,2.71,broken clouds
686,Marsa Matruh,EG,31.3525,27.2453,55.6,76,0,0.0,clear sky
687,Mato Verde,BR,-15.3972,-42.8664,72.14,84,46,4.61,scattered clouds
688,Mount Isa,AU,-20.7333,139.5,82.17,26,0,8.05,clear sky
689,Sunbury,AU,-37.5833,144.7333,63.93,61,20,12.66,few clouds
690,Waingapu,ID,-9.6567,120.2641,75.72,87,100,6.26,overcast clouds
691,Antibes,FR,43.5624,7.1278,54.88,35,0,23.02,clear sky
692,Pitimbu,BR,-7.4706,-34.8086,82.99,70,32,10.56,scattered clouds
693,Bijni,IN,26.4959,90.703,55.65,59,0,6.24,clear sky
694,Valdez,EC,1.2492,-78.9831,79.7,80,41,5.66,light rain
695,Emilio Carranza,MX,19.9711,-96.6114,79.39,64,0,17.45,clear sky
696,Morgan City,US,29.6994,-91.2068,78.8,78,75,17.27,broken clouds
697,Baracoa,CU,20.3467,-74.4958,75.67,79,43,10.6,scattered clouds
698,Rio Gallegos,AR,-51.6226,-69.2181,68.94,32,3,6.02,clear sky
699,Oranjestad,AW,12.524,-70.027,80.55,74,20,17.27,few clouds
700,Havelock,US,34.8791,-76.9013,64.38,87,75,10.36,broken clouds
701,Vasterhaninge,SE,59.1167,18.1,30.83,93,100,26.55,overcast clouds
702,Nipawin,CA,53.3668,-104.0009,-12.96,64,0,8.05,clear sky
