City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Rio Grande,BR,-32.035,-52.0986,91.51,55,0,4.81,clear sky
70,Cherepanovo,RU,54.2222,83.381,1.17,99,61,7.61,broken clouds
71,Yertsevo,RU,60.7966,40.086,19.33,97,91,4.07,overcast clouds
72,Leningradskiy,RU,69.3833,178.4167,-0.2,97,97,6.08,overcast clouds
73,Bethel,US,41.3712,-73.414,48.58,56,40,8.05,scattered clouds
74,Khatanga,RU,71.9667,102.5,1.6,87,100,8.81,overcast clouds
75,Hualmay,PE,-11.0964,-77.6139,75.81,71,92,6.15,overcast clouds
76,Genhe,CN,50.7833,121.5167,-10.77,100,91,1.28,overcast clouds
77,Korla,CN,41.7597,86.1469,38.73,44,53,3.4,broken clouds
78,Rundu,NA,-17.9333,19.7667,67.5,90,100,4.7,light rain
79,Ilulissat,GL,69.2167,-51.1,35.62,35,75,25.32,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,73.42,75,40,18.01,scattered clouds
81,Yellowknife,CA,62.456,-114.3525,-4.72,65,0,1.99,clear sky
82,Pevek,RU,69.7008,170.3133,-18.87,100,97,4.34,overcast clouds
83,Makakilo City,US,21.3469,-158.0858,77.2,75,0,4.61,clear sky
84,Boa Vista,BR,2.8197,-60.6733,89.58,48,75,11.5,broken clouds
85,Waipawa,NZ,-41.4122,175.5153,47.03,77,13,1.07,few clouds
86,Rovaniemi,FI,66.5,25.7167,33.21,93,40,11.5,scattered clouds
87,Inongo,CD,-1.95,18.2667,75.96,78,100,4.54,overcast clouds
88,Airai,TL,-8.9266,125.4092,60.8,86,17,2.13,few clouds
89,Cidreira,BR,-30.1811,-50.2056,78.76,79,23,10.87,few clouds
90,Xinzhou,CN,38.4092,112.7333,33.96,28,0,4.23,clear sky
91,Vostok,RU,46.4856,135.8833,4.21,99,100,2.93,overcast clouds
92,Asfi,MA,32.2994,-9.2372,60.35,84,35,15.68,scattered clouds
93,Whitehorse,CA,60.7161,-135.0538,27.37,71,75,16.11,broken clouds
94,Mecca,SA,21.4267,39.8261,80.2,57,0,2.89,clear sky
95,Codrington,AU,-38.2667,141.9667,64.18,82,0,6.85,clear sky
96,Kathmandu,NP,27.7167,85.3167,53.82,76,20,3.44,few clouds
97,Port Elizabeth,ZA,-33.918,25.5701,72.1,83,0,16.11,clear sky
98,Acuitzio,MX,20.345,-101.9771,84.04,19,0,2.89,clear sky
99,Barra Dos Coqueiros,BR,-10.9089,-37.0386,82.42,83,75,6.91,broken clouds
100,Winneba,GH,5.3511,-0.6231,84.67,82,86,10.89,overcast clouds
101,Vila Velha,BR,-20.3297,-40.2925,87.75,70,20,18.41,few clouds
102,Tiksi,RU,71.6872,128.8694,-23.98,100,84,2.04,broken clouds
103,Zhezkazgan,KZ,47.8043,67.7144,6.84,96,7,5.77,clear sky
104,Szentgotthard,HU,46.9526,16.2736,37.4,44,0,1.16,clear sky
105,Bengkulu,ID,-3.8004,102.2655,75.88,90,79,4.07,broken clouds
106,Taybad,IR,34.74,60.7756,57.09,46,100,1.7,overcast clouds
107,Pacifica,US,37.6138,-122.4869,68.94,85,0,5.75,mist
108,Kudahuvadhoo,MV,2.6708,72.8944,82.98,64,99,13.85,overcast clouds
109,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,12,8.32,few clouds
110,Glendive,US,47.1053,-104.7125,29.82,100,100,14.97,fog
111,Kandry,RU,54.5667,54.1167,8.62,97,50,4.18,scattered clouds
112,Westport,US,41.1415,-73.3579,50.81,52,75,8.05,broken clouds
113,Chapais,CA,49.7834,-74.8492,6.58,73,100,8.97,overcast clouds
114,Kavieng,PG,-2.5744,150.7967,80.69,78,100,5.39,overcast clouds
115,Oum Hadjer,TD,13.2954,19.6966,89.85,7,100,7.18,overcast clouds
116,Esperance,AU,-33.8667,121.9,58.84,62,70,21.32,broken clouds
117,Hazorasp,UZ,41.3194,61.0742,46.24,55,82,8.99,broken clouds
118,Port Alberni,CA,49.2413,-124.8028,49.84,86,100,3.85,overcast clouds
119,Tuatapere,NZ,-46.1333,167.6833,43.83,80,99,2.3,overcast clouds
120,The Valley,AI,18.217,-63.0578,85.86,74,20,16.11,few clouds
121,Tomaszow Lubelski,PL,50.4477,23.4162,34.81,79,100,5.35,overcast clouds
122,Zwedru,LR,6.0667,-8.1281,78.67,78,100,3.83,light rain
123,Mataura,NZ,-46.1927,168.8643,43.48,90,93,1.88,overcast clouds
124,Baherden,TM,38.4362,57.4316,59.27,47,93,0.89,overcast clouds
125,Kharp,RU,66.8014,65.8081,9.1,96,100,3.31,light snow
126,Port Alfred,ZA,-33.5906,26.891,69.19,87,21,9.73,few clouds
127,Graaff-Reinet,ZA,-32.2522,24.5308,72.91,34,0,5.68,clear sky
128,Kalabo,ZM,-14.97,22.6814,69.53,85,54,5.97,light rain
129,Havelock,US,34.8791,-76.9013,77.05,47,0,10.36,clear sky
130,Qaanaaq,GL,77.484,-69.3632,4.62,54,6,8.41,clear sky
131,Butaritari,KI,3.0707,172.7902,80.28,84,100,13.67,moderate rain
132,Cabo San Lucas,MX,22.8909,-109.9124,87.51,51,20,5.75,few clouds
133,Puerto Escondido,MX,15.85,-97.0667,85.03,70,0,6.91,clear sky
134,Vardo,NO,70.3705,31.1107,31.98,93,75,6.91,broken clouds
135,Batsfjord,NO,70.6345,29.7185,35.53,89,99,19.15,overcast clouds
136,Iqaluit,CA,63.7506,-68.5145,-7.31,69,75,13.8,broken clouds
137,Dikson,RU,73.5069,80.5464,-20.2,98,100,7.45,overcast clouds
138,Sayla,IN,22.55,71.4667,77.81,25,0,7.61,clear sky
139,Upernavik,GL,72.7868,-56.1549,-7.38,86,31,9.75,scattered clouds
140,Carnarvon,AU,-24.8667,113.6333,69.87,56,0,24.16,clear sky
141,Nome,US,64.5011,-165.4064,17.67,79,100,5.75,overcast clouds
142,Kruisfontein,ZA,-34.0033,24.7314,69.89,77,0,4.41,clear sky
143,Dawlatabad,AF,36.4141,64.9053,54.46,64,86,4.79,overcast clouds
144,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,81,40,13.8,scattered clouds
145,Leh,IN,34.1667,77.5833,8.62,78,99,2.13,overcast clouds
146,Yaan,NG,7.3833,8.5667,94.51,26,97,1.36,overcast clouds
147,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,63,20,15.64,few clouds
148,Mount Gambier,AU,-37.8333,140.7667,64.31,88,6,5.75,clear sky
149,Cayenne,GF,4.9333,-52.3333,84.24,82,20,14.97,few clouds
150,Belyy Yar,RU,53.6039,91.3903,22.89,66,40,15.66,scattered clouds
151,Zhigalovo,RU,54.8097,105.1578,18.09,87,100,9.89,overcast clouds
152,Harper,LR,4.375,-7.7169,81.34,79,100,7.14,overcast clouds
153,Port Blair,IN,11.6667,92.75,80.35,82,80,7.61,broken clouds
154,Temiscaming,CA,46.7212,-79.0971,26.47,54,100,6.91,overcast clouds
155,Tigil,RU,57.8,158.6667,-5.64,100,87,0.69,overcast clouds
156,Gramsh,AL,40.8697,20.1844,37.94,76,56,3.62,broken clouds
157,Zachary,US,30.6485,-91.1565,75.72,32,0,6.91,clear sky
158,Atuona,PF,-9.8,-139.0333,78.12,80,24,19.35,light rain
159,Chandia,IN,23.65,80.7,65.7,21,0,4.68,clear sky
160,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,13.8,scattered clouds
161,Lebu,CL,-37.6167,-73.65,65.17,80,6,20.31,clear sky
162,Kologriv,RU,58.8275,44.3178,26.24,98,100,4.76,overcast clouds
163,Tuy Hoa,VN,13.0833,109.3,72.37,88,97,5.46,overcast clouds
164,Provideniya,RU,64.3833,-173.3,11.55,95,54,8.99,broken clouds
165,Tecoanapa,MX,16.5167,-98.75,84.83,56,85,10.74,overcast clouds
166,Granja,BR,-3.1203,-40.8261,79.56,81,100,7.78,overcast clouds
167,Caravelas,BR,-17.7125,-39.2481,83.66,65,100,9.26,overcast clouds
168,Meulaboh,ID,4.1363,96.1285,77.83,86,100,4.72,overcast clouds
169,Vytegra,RU,61.0064,36.4481,31.05,95,100,4.81,overcast clouds
170,Andros Town,BS,24.7,-77.7667,76.96,61,28,11.83,scattered clouds
171,Chokurdakh,RU,70.6333,147.9167,-28.39,100,43,1.21,scattered clouds
172,Pafos,CY,34.7667,32.4167,62.38,72,40,20.71,scattered clouds
173,Gamba,GA,-2.65,10.0,80.2,87,57,4.32,broken clouds
174,Anahawan,PH,10.3429,124.8782,76.64,91,42,3.33,scattered clouds
175,Novo Cruzeiro,BR,-17.4681,-41.8753,78.96,56,100,4.45,overcast clouds
176,Cochrane,CA,51.1834,-114.4687,25.07,92,100,4.61,mist
177,Fuyu,CN,45.1833,124.8167,1.94,100,87,4.83,overcast clouds
178,Anadyr,RU,64.75,177.4833,14.5,85,0,8.95,clear sky
179,Maragogi,BR,-9.0122,-35.2225,83.52,70,32,9.62,scattered clouds
180,Patacamaya,BO,-17.2333,-67.9167,61.38,40,47,12.66,scattered clouds
181,San Jose,US,37.3394,-121.895,70.56,61,100,3.44,mist
182,Carutapera,BR,-1.195,-46.02,84.09,66,99,7.76,overcast clouds
183,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,71,20,20.71,few clouds
184,Visby,SE,57.6409,18.296,28.62,100,0,3.44,clear sky
185,Erice,IT,38.037,12.5865,39.67,68,5,7.83,clear sky
